,Country,Elect_tech,Grid_status,2008 Gen Est,2009 Gen Est,2010 Gen Est,2011 Gen Est,2012 Gen Est,2013 Gen Est,2014 Gen Est,2015 Gen Est,2016 Gen Est,2017 Gen Est,2018 Gen Est,2019 Gen Est
397,Gambia,Fossil fuels,On-grid,229.704,233.952,247.628,250.664,245.007,248.645,270.047,343.683,392.303,392.303,392.303,392.303
398,Gambia,Off-grid Solar photovoltaic,Off-grid,2.245,2.592,2.833,2.964,3.173,3.181,3.188,3.188,3.188,3.192,3.192,3.192
399,Gambia,Onshore wind energy,On-grid,,0.1,0.292,0.64,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
400,Georgia,Fossil fuels,On-grid,1281.486,990.678,682.751,2212.052,2477.112,1787.703,2035.892,2378.751,2235.455,2233.0,2114.9,2840.406
401,Georgia,Renewable hydropower,On-grid,7169.012,7417.005,9374.896,7892.456,7220.512,8271.206,8335.337,8453.764,9329.241,9210.4,9949.4,8931.7
402,Germany,Biogas,On-grid,12960.0,15185.0,17548.0,21237.0,27314.0,29255.0,31086.0,33098.0,33711.0,33879.0,33119.0,32910.0
403,Germany,Fossil fuels,On-grid,385401.0,352440.0,372550.0,366773.0,371343.0,374945.0,352838.0,352936.0,361336.0,346079.0,327585.0,277381.0
404,Germany,Geothermal energy,On-grid,18.0,19.0,28.0,19.0,25.0,80.0,98.0,133.0,175.0,163.0,178.0,197.0
405,Germany,Liquid biofuels,On-grid,1089.0,1632.0,1277.0,382.0,246.0,288.0,334.0,426.0,490.0,437.0,452.0,397.0
406,Germany,Nuclear,On-grid,148495.0,134932.0,140556.0,107971.0,99460.0,97290.0,97129.0,91786.0,84634.0,76324.0,76005.0,75071.0
407,Germany,Offshore wind energy,On-grid,,810.0,928.0,1544.0,1731.0,1934.0,2589.0,9702.0,13600.0,17675.0,19484.0,24744.0
408,Germany,On-grid Solar photovoltaic,On-grid,4420.0,6583.0,11729.0,19599.0,26380.0,31010.0,36056.0,38726.0,38098.0,39401.0,45784.0,46392.0
409,Germany,Onshore wind energy,On-grid,41385.0,38610.0,37619.0,48314.0,49949.0,50803.0,55908.0,70922.0,66324.0,88018.0,90467.0,101150.0
410,Germany,Other non-renewable energy,On-grid,7016.0,7509.0,8434.0,8501.0,8373.0,8343.0,9456.0,8880.0,9219.0,8992.0,8633.0,8238.0
411,Germany,Pumped storage,On-grid,6026.0,5651.0,6400.0,5840.0,6094.0,5784.0,5857.0,5921.0,5588.0,6005.0,6170.0,5940.0
412,Germany,Renewable hydropower,On-grid,20443.0,19031.0,20953.0,17672.0,21755.0,22998.0,19587.0,18976.0,20546.0,20150.0,17693.0,19731.0
413,Germany,Renewable municipal waste,On-grid,4672.0,4322.0,4747.0,4755.0,4950.0,5416.0,6070.0,5768.0,5930.0,5956.0,6163.0,5806.0
414,Germany,Solid biofuels,On-grid,9296.0,9746.0,10351.0,10516.0,10693.0,10555.0,10798.0,11034.0,10798.0,10644.0,11167.0,11108.0
415,Ghana,Fossil fuels,On-grid,2174.0,2081.0,3171.0,3639.0,3953.0,4635.0,4572.0,5644.0,7435.0,8424.0,10195.0,10885.0
416,Ghana,Renewable hydropower,On-grid,6195.0,6877.0,6996.0,7561.0,8071.0,8233.0,8387.0,5845.0,5561.0,5616.0,6017.0,7252.0
417,Ghana,Solid biofuels,Off-grid,15.8,15.8,15.8,15.8,15.8,15.8,19.4,19.4,19.4,19.4,19.4,19.4
418,Greece,Biogas,On-grid,191.0,218.0,190.0,207.0,204.0,216.0,220.0,230.0,270.0,300.238,302.131,377.537
419,Greece,Fossil fuels,On-grid,57143.0,52890.0,46716.0,50916.0,50560.0,42680.0,38066.0,36860.0,39316.0,41387.791,36811.763,29039.793
420,Greece,On-grid Solar photovoltaic,On-grid,5.236,50.0,157.748,610.311,1693.986,3648.101,3791.885,3899.636,3929.716,3991.477,3790.652,4428.51
421,Greece,Onshore wind energy,On-grid,2242.0,2543.0,2713.937,3315.227,3850.157,4139.136,3688.575,4621.019,5145.896,5536.987,6300.259,7266.347
422,Greece,Other non-renewable energy,On-grid,19.0,19.0,129.0,113.0,60.0,85.0,100.0,112.0,207.0,,286.14,289.74
423,Greece,Pumped storage,On-grid,837.0,268.218,23.479,264.053,198.124,36.966,128.847,52.126,22.455,77.259,16.453,73.28
424,Greece,Renewable hydropower,On-grid,3312.288,5352.558,7474.753,4011.165,4392.525,6346.921,4478.322,6098.194,5542.638,3962.547,5743.448,3977.615
425,Greenland,Fossil fuels,Off-grid,167.777,153.888,118.889,113.889,114.722,95.278,91.666,97.222,89.444,111.0,114.0,103.0
426,Greenland,Renewable hydropower,On-grid,207.62,265.225,296.0,338.0,344.563,377.502,396.359,422.857,400.912,376.0,406.0,389.0
427,Grenada,Fossil fuels,On-grid,196.957,202.992,208.728,203.974,199.704,196.656,199.588,205.629,216.195,220.136,227.651,237.58
428,Grenada,On-grid Solar photovoltaic,On-grid,0.113,0.184,0.294,0.442,0.511,0.844,0.941,1.338,2.313,3.085,3.296,3.742
429,Grenada,Onshore wind energy,On-grid,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224
430,Guadeloupe,Fossil fuels,On-grid,1392.672,1437.366,1581.194,1487.789,1457.061,1427.612,1414.047,1445.066,1476.303,1396.697,1341.96,1346.2
431,Guadeloupe,Geothermal energy,On-grid,89.285,49.529,14.63,55.882,50.556,80.777,74.877,82.828,84.079,112.197,106.794,109.468
432,Guadeloupe,On-grid Solar photovoltaic,On-grid,2.959,5.048,17.319,33.36,91.827,98.642,102.726,101.519,93.847,93.331,98.145,102.714
433,Guadeloupe,Onshore wind energy,On-grid,48.656,51.085,41.04,45.088,50.961,56.794,54.482,51.886,53.289,51.008,52.424,62.907
434,Guadeloupe,Renewable hydropower,On-grid,20.96,21.11,15.521,14.67,13.87,19.21,26.801,21.142,34.09,37.955,40.332,44.143
435,Guadeloupe,Solid biofuels,On-grid,58.224,64.123,60.771,54.905,61.709,45.865,60.465,56.234,49.804,63.49,55.755,46.626
436,Guam,Fossil fuels,On-grid,1784.408,1781.158,1786.158,1756.277,1716.867,1710.796,1689.964,1686.96,1679.439,1704.838,1664.76,1661.25
